comment,comm_region,comm_time,video_img,video_info,comm_name,video_name,comm_favor
这部戏好看,中国:湖南:郴州,Fri Jun 02 23:04:45 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,装纯，你不配。,职场是个技术活,1
这部电视剧挺好看,中国:浙江:杭州,Sat Jun 03 00:10:25 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,逍遥剑客,职场是个技术活,1
这是职场？？？如果真有公司这样不早关门了。感觉里面除了许诺和老板，其他都不像是上班的。,中国:云南:文山,Thu Jun 01 22:09:56 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,✧´靜•́و`́冭ヾ๑´,职场是个技术活,6
喜欢林凡跟许诺在一起，不喜欢沈志泽面对感情考虑这考虑那，还把一个不成在的人来说事，,中国:上海:嘉定,Fri Jun 02 14:41:18 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,柏拉图的永恒,职场是个技术活,11
雪山好美,中国::,Fri Jun 02 22:44:06 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,温柔の回忆,职场是个技术活,2
好看,中国:广东:广州,Sat Jun 03 00:43:22 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,糖糖,职场是个技术活,3
好看,特克斯和凯克特斯群岛::,Sat Jun 03 00:36:54 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,♧何以缘灭,职场是个技术活,1
黄牙齿 差评,中国:浙江:嘉兴,Sat Jun 03 00:56:04 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,夏天,职场是个技术活,1
"一个白痴编出的一部脑残剧,许诺和余漫妮不管从长相,气质各方面跟本就没有可比性。编出这么一个万能女的太不现实了,看许诺工作上的所做所为,完全都是一般职场员工都能做到的,只是编剧有意把她周围的同事编的特傻。象曲弯弯这样的怎么可能会有公司要呢？更可笑的是曲弯弯还梦想着跟林凡,真的好笑.水平这么差要么是编剧导演脑子坏了,要么就是编剧导演太垃圾.",中国:江西:新余,Sat Jun 03 02:36:58 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,春季雨林,职场是个技术活,1
[调皮],中国:湖北:潜江,Sat Jun 03 07:33:00 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/h/h03rdupl3spyss6_y.jpg,更新至41集,聆听心de旋律,职场是个技术活,0
