IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
114.239.3.213,17-06-01 08:22,0.546秒,江苏宿迁,HTTPS,808
175.155.25.14,17-06-01 08:20,0.308秒,四川德阳,HTTP,808
60.167.20.140,17-06-01 08:16,4.377秒,安徽芜湖,HTTP,808
49.86.62.199,17-06-01 08:15,0.205秒,江苏扬州,HTTPS,808
60.184.172.51,17-06-01 08:15,4.469秒,浙江丽水,HTTP,808
115.220.148.159,17-06-01 08:12,4.321秒,浙江宁波,HTTPS,808
175.155.246.157,17-06-01 08:11,6.186秒,四川德阳,HTTPS,808
180.118.243.85,17-06-01 08:11,3.936秒,江苏镇江,HTTPS,808
112.194.217.226,17-06-01 08:11,0.321秒,四川南充,HTTPS,808
125.89.123.77,17-06-01 08:11,3.84秒,广东河源,HTTPS,808
114.239.0.65,17-06-01 08:11,0.241秒,江苏宿迁,HTTP,808
112.194.40.83,17-06-01 08:11,0.262秒,四川达州,HTTPS,808
113.69.37.12,17-06-01 08:11,0.201秒,广东佛山,HTTPS,808
122.241.74.165,17-06-01 08:10,0.219秒,浙江丽水,HTTP,808
115.221.119.240,17-06-01 08:01,0.539秒,浙江温州,HTTP,32417
175.155.24.30,17-06-01 08:01,0.42秒,四川德阳,HTTP,808
122.241.73.63,17-06-01 08:00,0.562秒,浙江丽水,HTTP,808
115.220.5.113,17-06-01 08:00,0.697秒,浙江宁波,HTTPS,808
119.5.1.30,17-06-01 08:00,0.257秒,四川南充,HTTP,808
123.163.21.229,17-06-01 08:00,7.219秒,河南洛阳,HTTPS,808
125.118.70.224,17-06-01 08:00,0.245秒,浙江杭州,HTTPS,808
182.88.162.23,17-06-01 07:58,2.59秒,广西南宁,HTTPS,8123
182.87.14.82,17-06-01 07:55,0.256秒,江西鹰潭市贵溪,HTTPS,808
122.245.71.227,17-06-01 07:51,1.029秒,浙江宁波,HTTPS,808
119.5.216.144,17-06-01 07:45,5.559秒,四川眉山,HTTPS,808
60.178.85.37,17-06-01 07:45,3.85秒,浙江宁波,HTTPS,808
123.55.184.162,17-06-01 07:45,3.171秒,河南三门峡,HTTP,808
115.203.82.34,17-06-01 07:42,0.6秒,浙江台州,HTTP,808
119.5.1.53,17-06-01 07:42,0.254秒,四川南充,HTTP,808
175.155.24.17,17-06-01 07:41,0.239秒,四川德阳,HTTP,808
119.5.0.71,17-06-01 07:41,0.299秒,四川南充,HTTP,808
114.239.1.187,17-06-01 07:40,0.197秒,江苏宿迁,HTTP,808
123.55.187.193,17-06-01 07:35,3.444秒,河南三门峡,HTTP,808
60.184.175.74,17-06-01 07:33,3.379秒,浙江丽水,HTTPS,808
117.43.1.227,17-06-01 07:33,0.247秒,江西九江,HTTPS,808
