MONTHLY_SALES,GOODS_URL,GOODS_PRICE,IMG_URL,GOODS_NAME
59笔,https://detail.tmall.com/item.htm?id=539379682186&skuId=3195535835099&user_id=1647052829&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5389.00,http://img.alicdn.com/bao/uploaded/i1/TB1S2csNpXXXXbvXVXXqxJV8FXX_025606.jpg_b.jpg, Lenovo/联想 小新 700 i7电竞版超薄笔记本电脑游戏本手提四核
60笔,https://detail.tmall.com/item.htm?id=547767960017&skuId=3494369686100&standard=1&user_id=133668489&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4599.00,http://img.alicdn.com/bao/uploaded/i2/TB1RhRZQFXXXXamXVXXsqld_XXX_051555.jpg_b.jpg, HP/惠普 ENVY15 AE122TX 超薄游戏笔记本电脑 轻薄便携15.6英寸
60笔,https://detail.tmall.com/item.htm?id=540618506192&skuId=3206409810941&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,3999.00,http://img.alicdn.com/bao/uploaded/i7/TB1yibCNVXXXXbnXFXXLC_h8XXX_021026.jpg_b.jpg, Hasee/神舟 战神 K660D G5D1 酷睿4G独显gtx960M游戏本笔记本电脑
62笔,https://detail.tmall.com/item.htm?id=544478416226&skuId=3488520454868&user_id=1730407557&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5799.00,http://img.alicdn.com/bao/uploaded/i3/1730407557/TB2soFKdOpnpuFjSZFkXXc4ZpXa_!!1730407557.jpg_b.jpg, MACHENIKE 机械师 T58 GTX1050 i7独显游戏本笔记本电脑 轻薄手提
54笔,https://detail.tmall.com/item.htm?id=544624696425&skuId=3282288920717&user_id=255921860&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,10999.00,http://img.alicdn.com/bao/uploaded/i2/255921860/TB2m8uldmBjpuFjy1XdXXaooVXa_!!255921860.jpg_b.jpg, Hasee/神舟 战神 G8-KP7S1 i7独显gtx1070 17.3游戏本笔记本电脑
55笔,https://detail.tmall.com/item.htm?id=539441960003&skuId=3304411157612&standard=1&user_id=2301408602&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,3548.00,http://img.alicdn.com/bao/uploaded/i7/TB1w_LyNpXXXXa9XFXXykYK8FXX_030131.jpg_b.jpg, Hasee/神舟 战神 T5-G4D1/T5-G4S1/T6-G4D2/游戏本15.6/M.2/1080
55笔,https://detail.tmall.com/item.htm?id=543808561569&skuId=3484217275519&standard=1&user_id=2248284179&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,7298.00,http://img.alicdn.com/bao/uploaded/i5/TB1wCsHPVXXXXaFXXXXXzPr_XXX_053308.jpg_b.jpg, 火影 金钢 GT 15.6英寸游戏本 GTX1060独显学生i7手提笔记本电脑
44笔,https://detail.tmall.com/item.htm?id=544001933482&skuId=3529846838747&user_id=2510050218&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,18298.00,http://img.alicdn.com/bao/uploaded/i1/TB1VzQyOVXXXXaDXVXXEhxlFpXX_090056.jpg_b.jpg, Dell/戴尔alienware ALW17C- 2738new外星人独显笔记本电脑游戏本
45笔,https://detail.tmall.com/item.htm?id=550888857705&skuId=3361190356401&user_id=726748565&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4599.00,http://img.alicdn.com/bao/uploaded/i3/TB1BmKLPpXXXXXHXFXXUG1I8pXX_023353.jpg_b.jpg, Dell/戴尔 灵越15(7559) Ins15P-2548B
46笔,https://detail.tmall.com/item.htm?id=545364276592&skuId=3454353326518&user_id=255921860&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6999.00,http://img.alicdn.com/bao/uploaded/i4/255921860/TB2k9YGeHplpuFjSspiXXcdfFXa_!!255921860.jpg_b.jpg, Hasee/神舟 战神系列 Z7-SP7S2 i7四核gtx1060独显游戏笔记本电脑
47笔,https://detail.tmall.com/item.htm?id=547737198214&skuId=3483265943810&user_id=2182235688&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5199.00,http://img.alicdn.com/bao/uploaded/i5/TB13f1BQpXXXXaoXpXXuFKTFXXX_115214.jpg_b.jpg, 炫龙 毁灭者 DC Pro i5笔记本4G独显GTX1050 i5手提游戏本电脑
47笔,https://detail.tmall.com/item.htm?id=544545187490&skuId=3281589405534&standard=1&user_id=686773455&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5299.00,http://img.alicdn.com/bao/uploaded/i3/686773455/TB2aLScdOlnpuFjSZFgXXbi7FXa_!!686773455.jpg_b.jpg, Asus/华硕 FX 53VD7300笔记本电脑游戏本学生手提电脑15.6英寸i5
42笔,https://detail.tmall.com/item.htm?id=547624726893&skuId=3481625526296&standard=1&user_id=2730985692&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5199.00,http://img.alicdn.com/bao/uploaded/i4/TB1PA8QQpXXXXXGXVXXno5F_VXX_064422.jpg_b.jpg, HP/惠普 暗影精灵Ⅱ Pro游戏笔记本电脑暗夜精灵2代plus独显超薄
42笔,https://detail.tmall.com/item.htm?id=545653346604&skuId=4611686564080734508&standard=1&user_id=2656954396&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,8599.00,http://img.alicdn.com/bao/uploaded/i8/TB15.faPFXXXXb1apXX2kWd8VXX_032005.jpg_b.jpg, 现货Dell/戴尔 XPS15 9560 9550超极本笔记本超薄游戏独显微边框
40笔,https://detail.tmall.com/item.htm?id=542141127511&skuId=3421205367584&user_id=2918377911&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5499.00,http://img.alicdn.com/bao/uploaded/i4/TB1.6F8OpXXXXaCapXXioQi9pXX_042231.jpg_b.jpg, MECHREVO/机械革命 X6TI X6Ti多彩版游戏本i7-6700HQ学生笔记本
41笔,https://detail.tmall.com/item.htm?id=543672953857&skuId=3436665611738&standard=1&user_id=2182235688&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4999.00,http://img.alicdn.com/bao/uploaded/i6/TB1ntFiPXXXXXaeXVXXlyf68pXX_024351.jpg_b.jpg, 炫龙 毁灭者X55 Ti游戏本GTX1050Ti独显 七代i5-7300HQ手提笔记本
41笔,https://detail.tmall.com/item.htm?id=550159517365&skuId=3514921302563&user_id=2980145876&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5999.00,http://img.alicdn.com/bao/uploaded/i5/TB1JG3jQVXXXXXBaFXX7WGi8VXX_031731.jpg_b.jpg, 神舟战神 游戏本 T6-X7 I7-7700HQ 1050显卡 4G独显 8G内存 IPS屏
43笔,https://detail.tmall.com/item.htm?id=544180385330&skuId=3277774704903&user_id=2943026087&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6299.00,http://img.alicdn.com/bao/uploaded/i4/2413561286/TB26ahUcbRkpuFjSspmXXc.9XXa_!!2413561286.jpg_b.jpg, MSI/微星 GL62M 7RD 223CN 笔记本电脑游戏本分期付款15.6英寸
40笔,https://detail.tmall.com/item.htm?id=550366217647&skuId=3353416748045&user_id=1687522049&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6999.00,http://img.alicdn.com/bao/uploaded/i3/TB1xZ66QVXXXXc6aXXXh4wd.VXX_082948.jpg_b.jpg, MSI/微星 PE62 7RD-1251CN 酷睿七代i7 4G独显 银色游游戏笔记本
44笔,https://detail.tmall.com/item.htm?id=544282938413&skuId=4611686562710326317&user_id=3039031267&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,7999.00,http://img.alicdn.com/bao/uploaded/i4/3039031267/TB2qj7ycYBmpuFjSZFAXXaQ0pXa_!!3039031267.jpg_b.jpg, Dell/戴尔 灵越Ins15- 7567超薄笔记本电脑游戏本15.6英寸i7独显
39笔,https://detail.tmall.com/item.htm?id=547188407643&skuId=3481196254873&user_id=2995472510&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5999.00,http://img.alicdn.com/bao/uploaded/i6/TB1jnn2QXXXXXXpXFXX_eV2.XXX_100018.jpg_b.jpg, 领睿 终结者 S1 i7-6700HQ GTX1060 6G独显游戏本手提笔记本电脑
39笔,https://detail.tmall.com/item.htm?id=548429999076&skuId=3491686698688&standard=1&user_id=133668489&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6899.00,http://img.alicdn.com/bao/uploaded/i7/TB1dss0QpXXXXXmaXXX6co.9VXX_051530.jpg_b.jpg, HP/惠普 omen 北极星i7暗影精灵2Pro游戏本笔记本电脑暗夜精灵
37笔,https://detail.tmall.com/item.htm?id=544080589575&skuId=3276830485294&user_id=2980145876&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6499.00,http://img.alicdn.com/bao/uploaded/i5/TB1.coQOVXXXXcWXVXX9BQU8VXX_033650.jpg_b.jpg, 神舟战神 T6Ti-X7 笔记本I7-7700HQ 1050Ti 全彩背光游戏本
38笔,https://detail.tmall.com/item.htm?id=532549562005&skuId=3176297316672&user_id=601366705&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4588.00,http://img.alicdn.com/bao/uploaded/i4/TB10e0JQpXXXXaXXpXXNuhX8FXX_025220.jpg_b.jpg, QRTECH 麦本本 黑麦i7 IPS笔记本电脑 15.6英寸GTX965M独显游戏本
39笔,https://detail.tmall.com/item.htm?id=545524397957&skuId=3483189614464&standard=1&user_id=2700507684&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5499.00,http://img.alicdn.com/bao/uploaded/i3/TB1bmY5PpXXXXbPXVXXrFJz.FXX_105354.jpg_b.jpg, Samsung/三星 8500GM x07玄龙骑士i5手提笔记本电脑游戏本学生
47笔,https://detail.tmall.com/item.htm?id=548105236031&skuId=3324504421378&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5499.00,http://img.alicdn.com/bao/uploaded/i2/255921860/TB2iRiymxBmpuFjSZFsXXcXpFXa_!!255921860.jpg_b.jpg, Hasee/神舟 战神 Z6-KP7GT七代i7四核独显gtx1050游戏笔记本电脑
47笔,https://detail.tmall.com/item.htm?id=547549570687&skuId=3480911831301&user_id=2995472510&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6599.00,http://img.alicdn.com/bao/uploaded/i1/2995472510/TB2pxaZjq8lpuFjy0FpXXaGrpXa_!!2995472510.jpg_b.jpg, 领睿 终结者 S1pro7代i7 GTX1060 6G独显游戏本 发烧级笔记本电脑
