[DEBUG | 2017-11-30 13:31:36,982] DtbtNginx = 127.0.0.1 8890
[DEBUG | 2017-11-30 13:31:36,983] listenName = 127.0.0.1 11111
[DEBUG | 2017-11-30 13:34:19,251] selfNginxName = 127.0.0.1 8888
[DEBUG | 2017-11-30 13:34:19,251] DtbtNginx = 127.0.0.1 8889
[DEBUG | 2017-11-30 13:34:19,252] DtbtNginx = 127.0.0.1 8890
[DEBUG | 2017-11-30 13:34:19,253] listenName = 127.0.0.1 11111
[DEBUG | 2017-11-30 13:35:16,256] selfNginxName = 127.0.0.1 9000
[DEBUG | 2017-11-30 13:35:16,257] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-11-30 13:35:16,258] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-11-30 13:35:16,259] listenName = 127.0.0.1 11111
[DEBUG | 2017-11-30 13:35:18,269] vote to all
[DEBUG | 2017-11-30 13:35:20,273] vote to all
[DEBUG | 2017-11-30 13:35:22,276] vote to all
[DEBUG | 2017-11-30 13:35:22,370] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-11-30 13:35:22,371] selfNginxName = 127.0.0.1 9001
[DEBUG | 2017-11-30 13:35:22,372] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-11-30 13:35:22,374] listenName = 127.0.0.1 11112
[DEBUG | 2017-11-30 13:35:22,379] connect -> 127.0.0.1 9000
[DEBUG | 2017-11-30 13:35:24,390] 写了:-0字节
[DEBUG | 2017-11-30 13:35:24,391] vote to all
[DEBUG | 2017-11-30 13:35:26,999] 写了:-0字节
[DEBUG | 2017-11-30 13:35:27,001] vote to all
[DEBUG | 2017-11-30 13:35:29,006] 写了:-0字节
[DEBUG | 2017-11-30 13:35:29,007] vote to all
[DEBUG | 2017-11-30 13:35:31,011] 写了:-0字节
[DEBUG | 2017-11-30 13:35:31,012] vote to all
[DEBUG | 2017-11-30 13:35:33,015] 写了:-0字节
[DEBUG | 2017-11-30 13:35:33,017] vote to all
[DEBUG | 2017-11-30 13:35:35,021] 写了:-0字节
[DEBUG | 2017-11-30 13:35:35,023] vote to all
[DEBUG | 2017-11-30 13:35:36,183] 写了:-0字节
[DEBUG | 2017-11-30 13:35:36,187] 写了:-0字节
[DEBUG | 2017-11-30 13:35:36,226] 写了:-0字节
[DEBUG | 2017-11-30 13:35:36,231] 写了:-0字节
